post_type,caption,like_count,comment_count,date,time,engagement_rate
Carousel,"['politeknik', 'elektronika', 'negeri', 'pens', 'resmi', 'kukuh', 'ribu', 'mahasiswa', 'angkat', 'buah', 'prosesi', 'sarat', 'makna', 'acara', 'momen', 'sejarah', 'tanda', 'langkah', 'mahasiswa', 'tapak', 'jalan', 'akademik', 'politeknik', 'nomor', 'indonesia', 'menteri', 'didik', 'sains', 'teknologi', 'mendiktisaintek', 'prof', 'brian', 'yuliarto', 'st', 'meng', 'phd', 'sambut', 'pesan', 'inspiratif', 'mahasiswa', 'garda', 'dorong', 'transformasi', 'digital', 'inovasi', 'teknologi', 'indonesia', 'tuju', 'visi', 'indonesia', 'emas', 'mahasiswa', 'daerah', 'indonesia', 'antusias', 'kumpul', 'penuh', 'bangga', 'kena', 'atribut', 'almamater', 'pens', 'latar', 'semangat', 'tekad', 'bentuk', 'wujud', 'nyata', 'generasi', 'muda', 'tangguh', 'adaptif', 'kontribusi', 'nyata', 'maju', 'bangsa', 'era', 'teknologi', 'kian', 'pesat', 'lengkap', 'baca', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusberdampak', 'kampusinovasi', 'banggapens', 'pkkmb', 'mabapens']",1068,3,2025-08-15,19:00:24,3.4208509007282486
Video,"['sambut', 'menteri', 'didik', 'sains', 'teknologi', 'halo', 'sobatpens', 'sidang', 'senat', 'buka', 'studium', 'generale', 'rangka', 'kukuh', 'mahasiswa', 'gelar', 'jumat', 'menteri', 'didik', 'sains', 'teknologi', 'prof', 'brian', 'yuliarto', 'phd', 'sambut', 'mahasiswa', 'pens', 'yuk', 'simak', 'video', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusberdampak', 'mendiktisaintek', 'kampusinovasi', 'pkkmb']",347,2,2025-08-15,13:58:07,1.1147310591542097
Video,"['halo', 'sobatpens', 'direktur', 'dring', 'ir', 'arif', 'irwansyah', 'st', 'mt', 'jajar', 'kenal', 'jajar', 'direksi', 'arah', 'mahasiswa', 'senin', 'sesi', 'arah', 'mahasiswa', 'ajak', 'kenal', 'sosoksosok', 'pimpin', 'kampus', 'direktur', 'wakil', 'direktur', 'ketua', 'jurus', 'kaprodi', 'masingmasing', 'visi', 'harap', 'semangat', 'kolaborasi', 'cipta', 'lingkung', 'akademik', 'inovatif', 'adaptif', 'inklusif', 'yuk', 'simak', 'reels', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusberdampak', 'pkkmb', 'technogearpens']",1007,1,2025-08-12,20:13:10,3.219624377155998
Carousel,"['politeknik', 'elektronika', 'negeri', 'pens', 'gelar', 'giat', 'kenal', 'hidup', 'kampus', 'mahasiswa', 'pkkmb', 'resmi', 'mahasiswa', 'program', 'studi', 'giat', 'laksana', 'hybrid', 'langsung', 'senin', 'rabu', 'hadir', 'materi', 'rancang', 'bekal', 'mahasiswa', 'putar', 'sistem', 'akademik', 'etika', 'budaya', 'nilainilai', 'junjung', 'pens', 'pkkmb', 'mahasiswa', 'harap', 'adaptasi', 'cepat', 'bangun', 'jejaring', 'positif', 'tumbuh', 'bangga', 'tanggung', 'keluarga', 'pens', 'jalan', 'akademik', 'lengkap', 'baca', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusberdampak', 'kampusinovasi', 'banggapens', 'pkkmb']",1610,5,2025-08-12,17:07:07,5.158425961415613
Video,"['halo', 'sobatpens', 'konferensi', 'internasional', 'pens', 'international', 'electronics', 'symposium', 'ies', 'helat', 'selasa', 'kamis', 'agenda', 'ambil', 'lokasi', 'doubletree', 'by', 'hilton', 'hybrid', 'via', 'zoom', 'video', 'conference', 'usung', 'tema', 'intelligent', 'connectivity', 'enabling', 'green', 'ict', 'in', 'emerging', 'technology', 'services', 'for', 'sustainable', 'living', 'ies', 'undang', 'keynote', 'speakers', 'alam', 'hadir', 'teliti', 'akademisi', 'pakar', 'industri', 'paper', 'fokus', 'manfaat', 'teknologi', 'hidup', 'hasil', 'terima', 'presentasi', 'yuk', 'simak', 'reels', 'intip', 'seru', 'rangkai', 'ies', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusinovasi', 'banggapens', 'ies']",1228,25,2025-08-09,19:51:34,4.002171968825859
Carousel,"['tahap', 'studi', 'pens', 'gelar', 'psikotes', 'sehat', 'mental', 'mahasiswa', 'giat', 'isi', 'serentak', 'smartphone', 'sesi', 'wawancara', 'observasi', 'langsung', 'psikotes', 'laksana', 'lokasi', 'ruang', 'auditorium', 'lt', 'area', 'lt', 'gedung', 'pascasarjana', 'pens', 'kloter', 'rabu', 'jumat', 'damping', 'tugas', 'cegah', 'tangan', 'keras', 'seksual', 'satgas', 'ppks', 'pens', 'kerja', 'psikolog', 'kimia', 'farma', 'giat', 'anggap', 'langkah', 'preventif', 'utama', 'mahasiswa', 'hidup', 'kampus', 'berita', 'lengkap', 'baca', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusinovasi', 'banggapens', 'psikotest', 'psikologi', 'satgasppkptpens', 'satgasppkpt']",1254,63,2025-08-07,08:46:45,4.206592564200843
Image,"['guest', 'lecture', 'international', 'data', 'science', 'community', 'speaker', 'yusuke', 'takahashi', 'phd', 'department', 'of', 'data', 'science', 'musashino', 'university', 'japan', 'thursday', 'th', 'august', 'wib', 'postgraduate', 'building', 'rd', 'floor', 'pens', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusberdampak', 'guestlecture', 'japan', 'datascience']",580,3,2025-08-06,18:12:45,1.8621438609939949
Image,"['kongres', 'reuni', 'akbar', 'ika', 'pens', 'cak', 'ning', 'alumni', 'pens', 'cinta', 'penuh', 'bahagia', 'moga', 'sua', 'kongres', 'reuni', 'akbar', 'ika', 'pens', 'lang', 'dampak', 'nyata', 'insyaallah', 'laksana', 'haritanggal', 'sabtu', 'agustus', 'wib', 'auditorium', 's', 'pens', 'acara', 'kongres', 'reuni', 'akbar', 'ika', 'pens', 'hadir', 'riah', 'dringir', 'arif', 'irwansyah', 'direktur', 'pens', 'profdrir', 'muhammad', 'nuh', 'dea', 'cak', 'diet', 'radityodirektur', 'airnav', 'indonesiapens', 'cak', 'galang', 'romadhon', 'umkm', 'eksportirpens', 'cak', 'pepengstand', 'up', 'comedypens', 'saxono', 'band', 'performance', 'form', 'daftar', 'htm', 'orang', 'free', 'kaos', 'ekslusif', 'alumni', 'yg', 'sedia', 'donasi', 'giat', 'reuni', 'akbar', 'konggres', 'laku', 'sawer', 'angkat', 'pribadi', 'sawer', 'kirim', 'rek', 'bank', 'mandiri', 'an', 'ikapens', 'uburubur', 'ikan', 'lele', 'dulur', 'saweranee', 'leee', 'cp', 'reuni', 'kongres', 'ika', 'pens', 'ning', 'ummul', 'ning', 'chindona', 'kesan', 'kenang', 'moga', 'cak', 'ning', 'kenan']",3,3,2025-08-06,15:44:14,0.0191644308164047
Carousel,"['rangka', 'kenal', 'potensi', 'riset', 'politeknik', 'elektronika', 'negeri', 'pens', 'gelar', 'event', 'international', 'electronics', 'symposium', 'ies', 'seminar', 'selenggara', 'double', 'tree', 'hotel', 'rupa', 'kolaborasi', 'pens', 'ieee', 'langsung', 'tanggal', 'agustus', 'forum', 'ilmiah', 'teliti', 'kembang', 'teknologi', 'negeri', 'seminar', 'ambil', 'topik', 'intelligent', 'connectivity', 'enabling', 'green', 'ict', 'in', 'emerging', 'technology', 'services', 'for', 'sustainable', 'living', 'tekan', 'integrasi', 'kelola', 'lintas', 'data', 'bas', 'ai', 'terap', 'sektor', 'lengkap', 'baca', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusberdampak', 'kampusinovasi', 'banggapens', 'ies']",537,0,2025-08-06,07:40:10,1.7152165580682253
Carousel,"['selamat', 'mahasiswa', 'pens', 'langkah', 'tuju', 'gemilang', 'keluarga', 'politeknik', 'elektronika', 'negeri', 'agenda', 'psikotest', 'agustus', 'kampus', 'pens', 'mari', 'karya', 'inovasi', 'indonesia', 'maju', 'satgasppkpt', 'satgasppkptpens', 'pensantikekerasan', 'bersamaciptakanpensaman', 'kampusberdampak']",1705,63,2025-08-05,21:45:31,5.647118947233934
Carousel,"['bukti', 'unggul', 'kancah', 'vokasi', 'tim', 'anggota', 'mahasiswa', 'sarjana', 'terap', 'teknik', 'komputer', 'pens', 'sukses', 'toreh', 'prestasi', 'olimpiade', 'vokasi', 'indonesia', 'olivia', 'universitas', 'brawijaya', 'inovasi', 'nama', 'smartmedbox', 'tim', 'bayuraksaka', 'raih', 'juara', 'bidang', 'information', 'technology', 'tangkai', 'lomba', 'smart', 'systems', 'iot', 'kompetisi', 'langsung', 'selasa', 'kamis', 'capai', 'presentasi', 'demonstrasi', 'luring', 'lawan', 'tujuh', 'final', 'guru', 'indonesia', 'berita', 'lengkap', 'baca', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusberdampak', 'kampusinovasi', 'banggapens', 'oliviax', 'smartmedbox']",1877,7,2025-08-05,16:15:28,6.017631276351092
Carousel,"['orang', 'mahasiswa', 'pens', 'dafit', 'ody', 'endriantono', 'm', 'krisnanda', 'vilovan', 'edukasi', 'kait', 'inovasi', 'bidang', 'tani', 'siswa', 'siswi', 'kelas', 'xii', 'jurus', 'rekayasa', 'perangkat', 'lunak', 'rpl', 'smkn', 'kamis', 'minggu', 'giat', 'edukasi', 'masuk', 'program', 'yuk', 'kenal', 'teknologi', 'kolaborasi', 'humas', 'pens', 'sekolahsekolah', 'program', 'usung', 'rupa', 'salah', 'bentuk', 'dukung', 'nyata', 'pens', 'hadap', 'tingkat', 'paham', 'publik', 'kait', 'teknologi', 'inovasi', 'kampus', 'lengkap', 'baca', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusberdampak', 'kampusinovasi', 'smknsurabaya', 'aquaculture']",1091,76,2025-08-04,14:25:17,3.7274817937907248
Carousel,"['halo', 'sobatsaintek', 'direktur', 'jenderal', 'sains', 'teknologi', 'ahmad', 'najib', 'burhan', 'laku', 'kunjung', 'politeknik', 'elektronika', 'negeri', 'pens', 'kunjung', 'ahmad', 'najib', 'tinjau', 'langsung', 'inovasi', 'produk', 'teknologi', 'karya', 'sivitas', 'akademika', 'pens', 'kunjung', 'momentum', 'diskusi', 'kena', 'kuat', 'ekosistem', 'riset', 'hilir', 'inovasi', 'guru', 'giat', 'rupa', 'komitmen', 'ditjen', 'saintek', 'dorong', 'inovasi', 'guru', 'relevan', 'butuh', 'industri', 'masyarakat', 'sinergi', 'perintah', 'guru', 'harap', 'akselerasi', 'maju', 'indonesia', 'bidang', 'sains', 'teknologi', 'ditjensaintek', 'pens', 'inovasiteknologi', 'perguruantinggi', 'sainsuntukindonesia']",276,1,2025-08-02,07:06:46,0.8847578893573528
Video,"['halo', 'sobatpens', 'pens', 'salah', 'institusi', 'didik', 'muka', 'bidang', 'elektronika', 'teknologi', 'komitmen', 'hasil', 'inovasi', 'manfaat', 'industri', 'masyarakat', 'rangka', 'kuat', 'sinergi', 'perintah', 'kampus', 'vokasi', 'unggul', 'pens', 'terima', 'kunjung', 'hormat', 'direktur', 'jenderal', 'sains', 'teknologi', 'menteri', 'didik', 'budaya', 'riset', 'teknologi', 'kemdiktisaintek', 'prof', 'dr', 'ahmad', 'najib', 'burhan', 'ma', 'kamis', 'kunjung', 'sambut', 'langsung', 'direktur', 'pens', 'dring', 'ir', 'arif', 'irwansyah', 'st', 'meng', 'jajar', 'pimpin', 'dosen', 'teliti', 'yuk', 'simak', 'arah', 'video', 'video', 'humas', 'pens', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusinovasi', 'dirjensaintek']",748,1,2025-08-01,16:29:32,2.39235978024786
Carousel,"['nilai', 'maju', 'ide', 'tim', 'program', 'kreativitas', 'mahasiswa', 'pkm', 'tahap', 'nilai', 'maju', 'laksana', 'pkm', 'pkp', 'pens', 'internal', 'giat', 'monitoring', 'evaluasi', 'monev', 'tahap', 'giat', 'laksana', 'rabu', 'ruang', 'ps', 'gedung', 'pascasarjana', 'pens', 'tim', 'lolos', 'dana', 'presentasi', 'konsep', 'inovatif', 'hadap', 'reviewer', 'pens', 'umpan', 'konstruktif', 'kembang', 'inovasi', 'berita', 'lengkap', 'baca', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusinovasi', 'banggapens', 'moneviinternal', 'pkmpens', 'pensmenujujuara']",969,5,2025-08-01,08:41:36,3.1110259358630383
Carousel,"['politeknik', 'elektronika', 'negeri', 'pens', 'salah', 'institusi', 'didik', 'muka', 'bidang', 'elektronika', 'teknologi', 'komitmen', 'hasil', 'inovasi', 'manfaat', 'industri', 'masyarakat', 'rangka', 'kuat', 'sinergi', 'perintah', 'kampus', 'vokasi', 'unggul', 'pens', 'terima', 'kunjung', 'hormat', 'direktur', 'jenderal', 'sains', 'teknologi', 'menteri', 'didik', 'budaya', 'riset', 'teknologi', 'kemdiktisaintek', 'prof', 'dr', 'ahmad', 'najib', 'burhan', 'ma', 'kamis', 'kunjung', 'sambut', 'langsung', 'direktur', 'pens', 'dring', 'ir', 'arif', 'irwansyah', 'st', 'meng', 'jajar', 'pimpin', 'dosen', 'teliti', 'agenda', 'utama', 'kunjung', 'silaturahmi', 'diskusi', 'strategis', 'kait', 'kembang', 'inovasi', 'kuat', 'ekosistem', 'riset', 'hilir', 'produk', 'teknologi', 'hasil', 'karya', 'civitas', 'akademika', 'lengkap', 'baca', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'banggapens', 'kampusinovasi', 'dirjensaintek']",711,0,2025-07-31,19:04:36,2.270985051743964
Carousel,"['timeline', 'pkkmb', 'kenal', 'kampus', 'pens', 'giat', 'wajib', 'langkah', 'mahasiswa', 'kenal', 'dunia', 'kampus', 'sistem', 'kuliah', 'nilai', 'bangsa', 'adaptasi', 'sehat', 'positif', 'peduli', 'lingkung', 'paham', 'hak', 'wajib', 'mahasiswasemuanya', 'kupas', 'tuntas', 'kukuh', 'senat', 'giat', 'seremonial', 'tanda', 'resmi', 'terima', 'mahasiswa', 'civitas', 'akademika', 'pens', 'acara', 'momen', 'rangkai', 'giat', 'sambut', 'mahasiswa', 'bentuk', 'pimpin', 'guru', 'hadap', 'mahasiswa', 'lolos', 'seleksi', 'tempuh', 'didik', 'technogear', 'seru', 'pkkmb', 'bikin', 'dunia', 'akademik', 'komunitas', 'jurus', 'briefing', 'fgd', 'kampus', 'lab', 'tour', 'inagurasi', 'bangun', 'semangat', 'kolaborasi', 'inovasi', 'mbex', 'minat', 'bakat', 'expo', 'bingung', 'aktif', 'mbex', 'eksplor', 'ukm', 'komunitas', 'kece', 'pens', 'suka', 'seni', 'teknologi', 'olahraga', 'budaya', 'tumbuh', 'kontribusi', 'versi', 'kampus', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'banggapens', 'pkkmbpens', 'technogear', 'mbex', 'mahasiswabaru', 'pens']",2391,10,2025-07-30,14:02:17,7.668966398364635
Image,"['want', 'to', 'turn', 'your', 'passion', 'for', 'gaming', 'into', 'a', 'career', 'join', 'our', 'guest', 'lectures', 'and', 'connect', 'with', 'the', 'professionals', 'behind', 'the', 'scenes', 'building', 'a', 'career', 'in', 'the', 'gaming', 'industry']",793,1,2025-07-28,18:24:01,2.5360930113708955
Image,"['terima', 'kasih', 'kunjugannya', 'jurus', 'teknik', 'elektro', 'mekatronika', 'politeknik', 'negeri', 'cilacap', 'pnc', 'politeknik', 'elektronika', 'negeri', 'pens', 'rabu', 'juli', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusinovasi', 'banggapens', 'kunjunganpens']",822,0,2025-07-25,11:27:19,2.625527021847451
Carousel,"['rangka', 'kuat', 'sinergi', 'guru', 'jajar', 'direksi', 'politeknik', 'elektronika', 'negeri', 'pens', 'laku', 'kunjung', 'silaturahmi', 'institut', 'teknologi', 'puluh', 'nopember', 'its', 'kamis', 'ruang', 'tamu', 'rektor', 'its', 'lantai', 'gedung', 'rektorat', 'giat', 'komitmen', 'pens', 'jalin', 'kolaborasi', 'strategis', 'institusi', 'didik', 'khusus', 'kembang', 'didik', 'kolaborasi', 'riset', 'inovasi', 'teknologi', 'temu', 'institusi', 'bahas', 'potensi', 'kerja', 'lintas', 'bidang', 'kuat', 'kontribusi', 'nyata', 'maju', 'didik', 'nasional', 'tingkat', 'daya', 'saing', 'sdm', 'indonesia', 'tingkat', 'global', 'lengkap', 'baca', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusinovasi', 'banggapens']",1549,4,2025-07-24,17:52:51,4.960393509646097
Image,"['pimpin', 'segenap', 'dosen', 'politeknik', 'elektronika', 'negeri', 'apresiasi', 'terima', 'kasih', 'setinggitingginya', 'presiden', 'republik', 'indonesia', 'menteri', 'didik', 'sains', 'teknologi', 'sekretaris', 'jenderal', 'kemendiktisaintek', 'jajar', 'kemendiktisaintek', 'kontribusi', 'perhati', 'komitmen', 'tingkat', 'sejahtera', 'dosen', 'cair', 'tunjang', 'kerja', 'tukin', 'perhati', 'semangat', 'kontribusi', 'tingkat', 'mutu', 'didik', 'indonesia', 'moga', 'komitmen', 'bijak', 'bawa', 'dunia', 'didik', 'bangsa', 'indonesia', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusinovasi', 'banggapens']",457,9,2025-07-15,14:18:09,1.4884374600741026
Carousel,"['direktur', 'politeknik', 'elektronika', 'negeri', 'pens', 'dring', 'ir', 'arif', 'irwansyah', 'st', 'meng', 'resmi', 'lantik', 'dr', 'ir', 'firman', 'arifin', 'st', 'mt', 'wakil', 'direktur', 'bidang', 'kerja', 'hubung', 'masyarakat', 'sistem', 'informasi', 'guru', 'jabat', 'struktural', 'lantik', 'pimpin', 'langsung', 'direktur', 'pens', 'ruang', 'auditorium', 'lantai', 'gedung', 'pascasarjana', 'senin', 'upaya', 'strategis', 'institusi', 'kuat', 'sektor', 'kolaborasi', 'komunikasi', 'publik', 'kembang', 'sistem', 'informasi', 'bas', 'teknologi', 'momentum', 'komitmen', 'pens', 'hadir', 'tata', 'kelola', 'adaptif', 'inovatif', 'responsif', 'hadap', 'kembang', 'zaman', 'lengkap', 'baca', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusinovasi', 'banggapens']",815,0,2025-07-14,18:29:04,2.603168519228312
Carousel,"['pens', 'buka', 'jalur', 'seleksi', 'simandiri', 'gelombang', 'gabung', 'mahasiswa', 'hebat', 'pens', 'catat', 'tanggal', 'informasi', 'lengkap', 'kunjung', 'web', 'pmbpensacid', 'pmbpensacid', 'pmbpensacid', 'tunggu', 'gabung', 'kampusinovasi', 'see', 'you', 'there', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'simandiripens', 'pmb', 'jalurmandiri', 'banggapens']",1055,29,2025-07-12,09:20:14,3.462373834163792
Carousel,"['jakarta', 'politeknik', 'elektronika', 'negeri', 'pens', 'toreh', 'prestasi', 'nasional', 'terima', 'harga', 'years', 'of', 'impact', 'award', 'pertamina', 'foundation', 'kick', 'off', 'pertamina', 'goes', 'to', 'campus', 'pgtc', 'ballroom', 'grha', 'pertamina', 'jakarta', 'kamis', 'pens', 'satusatunya', 'politeknik', 'indonesia', 'raih', 'harga', 'bentuk', 'apresiasi', 'kontribusi', 'aktif', 'lahir', 'wirausaha', 'muda', 'dampak', 'program', 'pertamuda', 'seed', 'scale', 'periode', 'wakil', 'direktur', 'bidang', 'mahasiswa', 'alumni', 'kholid', 'fathoni', 'skom', 'mt', 'harga', 'bukti', 'nyata', 'komitmen', 'pens', 'dukung', 'kembang', 'startup', 'bas', 'teknologi', 'program', 'inkubator', 'bisnis', 'penssky', 'venture', 'kampus', 'dorong', 'inovasi', 'kolaborasi', 'mahasiswa', 'akademisi', 'industri', 'politeknik', 'politeknikjoss', 'pens', 'pensjoss', 'diktisaintekberdampak', 'kampusinovasi', 'banggapens', 'pertaminagoestocampus']",1780,4,2025-07-11,15:27:05,5.69822409607768
